idx;pitch;tsr;Cp;Ct;Cq;dCqdpitch;dCqdtsr;stall
132;-3.00;2.00;0.012970;0.323848;0.006485;0.012126;0.001809;1
133;-3.00;2.25;0.021412;0.342151;0.009516;0.014108;0.002316;1
134;-3.00;2.50;0.033847;0.366437;0.013539;0.018450;0.002979;1
135;-3.00;2.75;0.051539;0.396509;0.018741;0.022017;0.003649;1
136;-3.00;3.00;0.073641;0.430740;0.024547;0.022936;0.003923;1
137;-3.00;3.25;0.098181;0.466748;0.030209;0.021603;0.003912;1
138;-3.00;3.50;0.123719;0.502959;0.035348;0.019244;0.003709;1
139;-3.00;3.75;0.149368;0.538958;0.039832;0.017570;0.003693;1
140;-3.00;4.00;0.176534;0.576303;0.044134;0.016832;0.003903;1
141;-3.00;4.25;0.205051;0.614541;0.048247;0.016276;0.004033;1
142;-3.00;4.50;0.235223;0.653909;0.052272;0.016230;0.004336;1
143;-3.00;4.75;0.267720;0.694485;0.056362;0.016640;0.004610;1
144;-3.00;5.00;0.302960;0.735989;0.060592;0.017428;0.005033;1
145;-3.00;5.25;0.341651;0.779417;0.065076;0.018241;0.005353;1
146;-3.00;5.50;0.383418;0.827978;0.069712;0.017148;0.005304;1
147;-3.00;5.75;0.423489;0.886224;0.073650;0.010306;0.003851;1
148;-3.00;6.00;0.449191;0.937635;0.074865;-0.000378;0.001323;1
149;-3.00;6.25;0.459131;0.972525;0.073461;-0.007814;0.000409;1
150;-3.00;6.50;0.461228;0.999576;0.070958;-0.011153;0.000490;1
151;-3.00;6.75;0.458220;1.021895;0.067884;-0.012909;0.000880;1
152;-3.00;7.00;0.451527;1.040453;0.064504;-0.013808;0.001123;1
153;-3.00;7.25;0.442107;1.056556;0.060980;-0.013887;0.001196;1
154;-3.00;7.50;0.431704;1.072327;0.057561;-0.013384;0.001223;1
155;-3.00;7.75;0.420734;1.088548;0.054288;-0.012691;0.001322;1
156;-3.00;8.00;0.409718;1.105499;0.051215;-0.011853;0.001508;1
157;-3.00;8.25;0.398986;1.123398;0.048362;-0.011002;0.001741;1
158;-3.00;8.50;0.388566;1.142259;0.045714;-0.010272;0.002003;1
159;-3.00;8.75;0.378229;1.161893;0.043226;-0.009753;0.002236;1
160;-3.00;9.00;0.367534;1.181913;0.040837;-0.009444;0.002417;1
161;-3.00;9.25;0.356166;1.202048;0.038504;-0.009229;0.002587;1
162;-3.00;9.50;0.344116;1.222336;0.036223;-0.009023;0.002774;1
163;-3.00;9.75;0.331432;1.242855;0.033993;-0.008821;0.002971;1
164;-3.00;10.00;0.318122;1.263640;0.031812;-0.008723;0.003173;1
165;-2.50;2.00;0.014791;0.323568;0.007396;0.013154;0.001838;1
166;-2.50;2.25;0.024040;0.342624;0.010684;0.015316;0.002357;1
167;-2.50;2.50;0.037634;0.367608;0.015053;0.019760;0.003061;1
168;-2.50;2.75;0.056551;0.398133;0.020564;0.022847;0.003633;1
169;-2.50;3.00;0.079431;0.432156;0.026477;0.023115;0.003798;1
170;-2.50;3.25;0.104395;0.467492;0.032121;0.021350;0.003729;1
171;-2.50;3.50;0.130031;0.502719;0.037152;0.019084;0.003529;1
